"group","alleles"
"Mane-A1_003g","A1_003_01,A1_003_03"
"Mane-A1_004g","A1_004_01_01,A1_004_01_02"
"Mane-A1_010g","A1_010_03,A1_083_01"
"Mane-A6_01g","A6_01_01_01,A6_01_01_02,A6_01_02,A6_01_03"
"Mane-A2_05g1","A2_05_01_01,A2_05_01_02,A2_05_01_03,A2_05_01_04,A2_05_02,A2_05_04,A2_05_05_01,A2_05_05_02,A2_05_05_03,A2_05_11,A2_05_12,A2_05_14,A2_05_15,A2_05_17,A2_05_18,A2_05_19_01,A2_05_19_02,A2_05_20,A2_05_21,A2_05_23,A2_05_25,A2_05_26,A2_05_27,A2_05_28"
"Mane-B_017g","B_017_02,B_017_03,B_017_05"
"Mane-A1_006g","A1_006_01,A1_006_02,A1_006_03,A1_031_01"
"Mane-B_081g","B_081_01_01,B_081_01_02,B_081_02,B_107_02,B_107_03"
"Mane-B_030g1","B_030_01,B_030_05"
"Mane-I_01g1","I_01_01_01,I_01_02,I_01_03,I_01_04,I_01_04_02,I_01_05,I_01_06_01,I_01_06_02,I_01_06_03,I_01_07,I_01_08_01,I_01_08_02,I_01_08_03,I_01_10,I_01_11,I_01_12,I_01_15,I_01_16,I_01_17_01,I_01_17_02,I_01_18,I_01_19,I_01_20_01,I_01_20_02,I_01_21,I_01_22_01,I_01_22_02,I_01_23_01,I_01_23_02,I_01_24,I_01_25,I_01_26,I_01_28,I_01_30,I_01_31,I_01_35,I_01_36"
"Mane-DQB1_17g1","DQB1_17_03_01,DQB1_17_03_02,DQB1_17_04,DQB1_17_07,DQB1_17_09,DQB1_17_10"
"Mane-B_068g1","B_068_02_01,B_068_02_03,B_068_02_04,B_068_04,B_068_07_01,B_068_07_02,B_068_11,B_068_13"
"Mane-A2_05g2","A2_05_03_01,A2_05_03_02,A2_05_03_03,A2_05_06,A2_05_08_01,A2_05_08_02,A2_05_09,A2_05_13,A2_05_16"
"Mane-B_079g1","B_079_01_01,B_079_01_02,B_079_01_03,B_079_01_04,B_079_01_05,B_079_01_06,B_079_01_07,B_079_02_01,B_079_02_02,B_079_03,B_079_05,B_079_06,B_079_07,B_079_08"
"Mane-A1_019g1","A1_019_01,A1_019_02,A1_019_05,A1_019_06,A1_019_07"
"Mane-A3_13g1","A3_13_01_01,A3_13_01_02,A3_13_03,A3_13_13"
"Mane-A1_082g","A1_082_01_01,A1_082_01_02_01,A1_082_01_03,A1_082_02"
"Mane-A1_084g","A1_084_01_01,A1_084_01_02,A1_084_02,A1_084_03,A1_084_05"
"Mane-A4_14g","A4_14_01_01,A4_14_01_03,A4_14_01_04,A4_14_02,A4_14_03_01,A4_14_03_02,A4_14_05N,A4_14_06N,A4_14_07N,A4_14_08,A4_14_09N,A4_14_10,A4_14_11,A4_14_12,A4_14_13,A4_14_14,A4_14_15N,A4_14_16"
