task_id	name	status	exit	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
35	PULL_IPD_MHC (5)	CACHED	0	2s	26.8%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	9.4 KB
22	PULL_MHC_PROTEINS (3)	CACHED	0	1.5s	26.0%	0.5%	18.8 MB	470.7 MB	18.8 MB	470.7 MB	6.2 MB	5.6 KB
36	PULL_IPD_MHC (6)	CACHED	0	1.7s	32.0%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	9.5 KB
20	PULL_MHC_PROTEINS (1)	CACHED	0	1.6s	29.4%	0.5%	17.9 MB	469.3 MB	17.9 MB	469.3 MB	6.2 MB	5.5 KB
25	PULL_MHC_PROTEINS (6)	CACHED	0	1.3s	28.3%	0.5%	18.2 MB	470.6 MB	18.2 MB	470.6 MB	6.2 MB	5.6 KB
14	PULL_IPD_KIR (7)	CACHED	0	1.9s	26.7%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	18.3 KB
33	PULL_IPD_MHC (3)	CACHED	0	1.8s	29.7%	1.2%	45.1 MB	498.8 MB	45.1 MB	498.8 MB	6.6 MB	9.4 KB
26	PULL_MHC_PROTEINS (7)	CACHED	0	2.1s	22.4%	1.2%	45.2 MB	498.7 MB	45.2 MB	498.7 MB	6.2 MB	5.6 KB
32	PULL_IPD_MHC (2)	CACHED	0	2.1s	29.6%	1.2%	46.3 MB	499.8 MB	46.3 MB	499.8 MB	6.6 MB	9.4 KB
29	PULL_IPD_MHC (0)	CACHED	0	2s	25.4%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.2 MB	5.4 KB
37	PULL_IPD_MHC (7)	CACHED	0	2.2s	37.1%	1.1%	43.3 MB	498 MB	43.3 MB	498.2 MB	6.6 MB	9.5 KB
19	PULL_MHC_PROTEINS (0)	CACHED	0	1.3s	29.3%	0.5%	18.4 MB	469.3 MB	18.4 MB	469.3 MB	6.2 MB	5.5 KB
10	PULL_IPD_KIR (4)	CACHED	0	1.9s	27.5%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	18.9 KB
30	PULL_IPD_MHC (1)	CACHED	0	1.6s	31.1%	0.5%	18 MB	469.4 MB	18 MB	469.4 MB	6.6 MB	9.4 KB
3	PULL_IPD_KIR (1)	CACHED	0	2.6s	20.1%	1.1%	43.3 MB	497.9 MB	43.4 MB	498.2 MB	6.6 MB	18.4 KB
34	PULL_IPD_MHC (4)	CACHED	0	2.2s	27.2%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	9.4 KB
13	PULL_IPD_KIR (6)	CACHED	0	1.8s	39.8%	0.4%	15.4 MB	339.7 MB	15.4 MB	339.7 MB	6.6 MB	8.5 KB
23	PULL_MHC_PROTEINS (4)	CACHED	0	1.4s	28.7%	0.5%	18.7 MB	470.7 MB	18.7 MB	470.7 MB	6.2 MB	5.6 KB
6	PULL_IPD_KIR (2)	CACHED	0	1.7s	28.0%	1.2%	45.1 MB	498.8 MB	45.1 MB	498.8 MB	6.6 MB	18.4 KB
8	PULL_IPD_KIR (3)	CACHED	0	1.9s	28.3%	1.2%	46.6 MB	499.9 MB	46.6 MB	499.9 MB	6.6 MB	18.3 KB
24	PULL_MHC_PROTEINS (5)	CACHED	0	1.8s	28.0%	1.2%	45.8 MB	498.7 MB	45.8 MB	498.7 MB	6.2 MB	5.6 KB
2	PULL_IPD_KIR (0)	CACHED	0	1.7s	25.1%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.2 MB	5.4 KB
21	PULL_MHC_PROTEINS (2)	CACHED	0	1.4s	31.4%	0.5%	16.9 MB	468.9 MB	16.9 MB	469 MB	6.2 MB	5.6 KB
11	PULL_IPD_KIR (5)	CACHED	0	2.7s	18.9%	1.1%	43.9 MB	497.9 MB	43.9 MB	498.2 MB	6.6 MB	8.5 KB
38	PULL_IPD_MHC (8)	CACHED	0	1.9s	26.7%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.6 MB	9.5 KB
72	PULL_IPD_MHC (12)	CACHED	0	2s	42.4%	1.2%	45.5 MB	498.8 MB	45.5 MB	498.8 MB	6.6 MB	9.5 KB
71	PULL_IPD_MHC (11)	CACHED	0	1.7s	31.0%	0.5%	18 MB	469.4 MB	18 MB	469.4 MB	6.6 MB	9.5 KB
75	PULL_IPD_KIR (11)	CACHED	0	1.9s	35.9%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	18.3 KB
17	PULL_IPD_KIR (8)	CACHED	0	1.9s	35.8%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	18.3 KB
67	PULL_IPD_KIR (9)	CACHED	0	2.1s	24.9%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	18.4 KB
69	PULL_IPD_MHC (9)	CACHED	0	1.8s	30.9%	1.2%	45.5 MB	498.8 MB	45.5 MB	498.8 MB	6.6 MB	9.4 KB
78	PULL_MHC_PROTEINS (9)	CACHED	0	1.9s	30.0%	1.2%	45.1 MB	498.7 MB	45.1 MB	498.7 MB	6.2 MB	5.6 KB
80	PULL_IPD_KIR (14)	CACHED	0	2s	28.1%	1.2%	46.9 MB	499.9 MB	46.9 MB	499.9 MB	6.6 MB	18.6 KB
76	PULL_IPD_KIR (12)	CACHED	0	1.9s	31.5%	1.2%	45.6 MB	498.8 MB	45.6 MB	498.8 MB	6.6 MB	18.6 KB
84	PULL_MHC_PROTEINS (10)	CACHED	0	2s	25.9%	1.2%	45.3 MB	498.7 MB	45.3 MB	498.7 MB	6.2 MB	5.6 KB
73	PULL_IPD_MHC (13)	CACHED	0	2.4s	25.3%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.6 MB	9.5 KB
