"group","alleles"
"Mafa-DPA1_02g1","DPA1_02_01,DPA1_02_07,DPA1_02_27,DPA1_02_48"
"Mafa-DPB1_02g1","DPB1_02_02,DPB1_02_05"
"Mafa-DPB1_03g1","DPB1_03_01,DPB1_03_07"
"Mafa-DQA1_26g1","DQA1_26_01_01,DQA1_26_01_02,DQA1_26_01_03,DQA1_26_01_04,DQA1_26_02,DQA1_26_06,DQA1_26_14,DQA1_26_15"
"Mafa-DQB1_06g1","DQB1_06_01_01,DQB1_06_01_02,DQB1_06_02,DQB1_06_34"
"Mafa-DQB1_06g2","DQB1_06_06_01,DQB1_06_06_02,DQB1_06_10"
"Mafa-DQB1_06g3","DQB1_06_07_01,DQB1_06_18,DQB1_06_19"
"Mafa-DQB1_06g4","DQB1_06_11_01,DQB1_06_11_02,DQB1_06_39"
"Mafa-DQB1_06g5","DQB1_06_12_01,DQB1_06_12_02"
"Mafa-DQB1_06g6","DQB1_06_13_01,DQB1_06_33,DQB1_06_44,DQB1_06_45"
"Mafa-DQB1_15g","DQB1_15_01_01,DQB1_15_01_02,DQB1_15_03_01,DQB1_15_03_02"
"Mafa-DQB1_17g1","DQB1_17_02_01,DQB1_17_02_02,DQB1_17_03,DQB1_17_11,DQB1_17_12"
"Mafa-DQB1_17g2","DQB1_17_04,DQB1_17_06_01,DQB1_17_06_02"
"Mafa-DQB1_17g3","DQB1_17_05,DQB1_17_10"
"Mafa-DQB1_18g1","DQB1_18_02,DQB1_18_29"
"Mafa-DQB1_18g2","DQB1_18_04,DQB1_18_31"
"Mafa-DQB1_24g","DQB1_24_01,DQB1_24_02"
"Mafa-DRB1_03g1","DRB1_03_01_01,DRB1_03_01_02"
"Mafa-DRB1_03g2","DRB1_03_03,DRB1_03_30"
"Mafa-DRB1_03g3","DRB1_03_06_01,DRB1_03_06_03"
"Mafa-DRB_W001g1","DRB_W001_01,DRB_W001_07,DRB_W001_13,DRB_W001_15"
"Mafa-DRB_W001g2","DRB_W001_02,DRB_W001_08,DRB_W001_10_02,DRB_W001_11_01,DRB_W001_17"
